# id	image	source_tag	platforms
r-alma-4.5.3-9	r-alma	4.5.3-9	linux/amd64,linux/arm64
r-alma-4.4.3-9	r-alma	4.4.3-9	linux/amd64,linux/arm64
r-alpine-4.5.3-3.23	r-alpine	4.5.3-3.23	linux/amd64,linux/arm64
r-alpine-4.4.3-3.23	r-alpine	4.4.3-3.23	linux/amd64,linux/arm64
r-alpine-4.5.3-3.22	r-alpine	4.5.3-3.22	linux/amd64,linux/arm64
r-alpine-4.4.3-3.22	r-alpine	4.4.3-3.22	linux/amd64,linux/arm64
r-ubuntu-4.5.3-noble	r-ubuntu	4.5.3-noble	linux/amd64,linux/arm64
r-ubuntu-4.4.3-noble	r-ubuntu	4.4.3-noble	linux/amd64,linux/arm64
python-alma-10	python-alma	10	linux/amd64,linux/arm64
python-ubuntu-26.04	python-ubuntu	26.04	linux/amd64,linux/arm64
julia-alma-1.12-9	julia-alma	1.12-9	linux/amd64,linux/arm64
julia-alma-1.10-9	julia-alma	1.10-9	linux/amd64,linux/arm64
julia-alpine-1.12-3.23	julia-alpine	1.12-3.23	linux/amd64
julia-alpine-1.10-3.23	julia-alpine	1.10-3.23	linux/amd64
julia-alpine-1.12-3.22	julia-alpine	1.12-3.22	linux/amd64
julia-alpine-1.10-3.22	julia-alpine	1.10-3.22	linux/amd64
julia-ubuntu-1.12-noble	julia-ubuntu	1.12-noble	linux/amd64,linux/arm64
julia-ubuntu-1.10-noble	julia-ubuntu	1.10-noble	linux/amd64,linux/arm64
